# stepparam	sweepparam	measured
# "stepparam"	"sweepparam"	"measured"
# 85	84
-25.7647	18.5714	-4.57868e+06
-25.7647	19.2857	-4.56791e+06
-25.7647	20	-4.55587e+06
-25.7647	20.7143	-4.54858e+06
-25.7647	21.4286	-4.54159e+06
-25.7647	22.1429	-4.52491e+06
-25.7647	22.8571	-4.51278e+06
-25.7647	23.5714	-4.5023e+06
-25.7647	24.2857	-4.48408e+06
-25.7647	25	-4.47457e+06
-25.7647	25.7143	-4.4546e+06
-25.7647	26.4286	-4.44857e+06
-25.7647	27.1429	-4.42918e+06
-25.7647	27.8571	-4.41152e+06
-25.7647	28.5714	-4.40322e+06
-25.7647	29.2857	-4.39017e+06

-25.0588	-30	-4.47192e+06
-25.0588	-29.2857	-4.41384e+06
-25.0588	-28.5714	-4.37541e+06
-25.0588	-27.8571	-4.35970e+06
-25.0588	-27.1429	-4.33566e+06
-25.0588	-26.4286	-4.32e+06
-25.0588	-25.7143	-4.31368e+06
-25.0588	-25	-4.30228e+06
-25.0588	-24.2857	-4.29006e+06
-25.0588	-23.5714	-4.27637e+06
-25.0588	-22.8571	-4.26106e+06
-25.0588	-22.1429	-4.25125e+06
-25.0588	-21.4286	-4.24382e+06
-25.0588	-20.7143	-4.24226e+06
-25.0588	-20	-4.23854e+06
-25.0588	-19.2857	-4.23132e+06
-25.0588	-18.5714	-4.23144e+06
-25.0588	-17.8571	-4.21827e+06
-25.0588	-17.1429	-4.215e+06
-25.0588	-16.4286	-4.22105e+06
-25.0588	-15.7143	-4.2084e+06
-25.0588	-15	-4.18964e+06
-25.0588	-14.2857	-4.18024e+06
-25.0588	-13.5714	-4.18295e+06
-25.0588	-12.8571	-4.17784e+06
-25.0588	-12.1429	-4.17788e+06
-25.0588	-11.4286	-4.1718e+06
-25.0588	-10.7143	-4.16078e+06
-25.0588	-10	-4.15734e+06
-25.0588	-9.28571	-4.1521e+06
-25.0588	-8.57143	-4.14957e+06
-25.0588	-7.85714	-4.14293e+06
-25.0588	-7.14286	-4.13562e+06
-25.0588	-6.42857	-4.14558e+06
-25.0588	-5.71429	-4.24163e+06
-25.0588	-5	-4.401e+06
-25.0588	-4.28571	-4.50568e+06
-25.0588	-3.57143	-4.55386e+06
-25.0588	-2.85714	-4.58292e+06
-25.0588	-2.14286	-4.59462e+06
-25.0588	-1.42857	-4.59184e+06
-25.0588	-0.714286	-4.59429e+06
-25.0588	0	-4.5985e+06
-25.0588	0.714286	-4.59844e+06
-25.0588	1.42857	-4.58923e+06
-25.0588	2.14286	-4.57979e+06
-25.0588	2.85714	-4.57754e+06
-25.0588	3.57143	-4.58527e+06
-25.0588	4.28571	-4.58606e+06
-25.0588	5	-4.5838e+06
-25.0588	5.71429	-4.58333e+06
-25.0588	6.42857	-4.58271e+06
-25.0588	7.14286	-4.57632e+06
-25.0588	7.85714	-4.55940e+06
-25.0588	8.57143	-4.55357e+06
-25.0588	9.28571	-4.56309e+06
-25.0588	10	-4.55948e+06
-25.0588	10.7143	-4.55004e+06
-25.0588	11.4286	-4.54881e+06
-25.0588	12.1429	-4.54868e+06
-25.0588	12.8571	-4.54358e+06
-25.0588	13.5714	-4.54695e+06
-25.0588	14.2857	-4.54717e+06
-25.0588	15	-4.53377e+06
